Key,Type,Desc,English,French,German,Spanish,Japanese,Korean,Chinese (Simplified),Russian,Traditional Chinese,Turkish,Italian,Portuguese (Brazil)
JOBMESSAGE_SPONGEBOB_INVISIBLEBOATMOBILE_MESSAGE_STAR1_ALT1,Text,NEW,"I know that the boatmobile's in a sorry state, but if Mrs Puff had seen me on that chase, my license would've been renewed on the spot. \s5 You can't expect to emerge from a sticky situation covered only in glory.","Je sais bien que la bateau-mobile est dans un piteux état, mais si Madame Puff m'avait vu pendant cette poursuite, elle aurait tout de suite renouvelé mon permis. \s5 On ne peut pas s'attendre à sortir d'une situation délicate en étant uniquement couvert de gloire.","Ich weiß, dass das Bootmobil in einem erbärmlichen Zustand ist, aber wenn Mrs. Puff mich bei dieser Verfolgungsjagd gesehen hätte, wäre mein Führerschein auf der Stelle erneuert worden. \s5 Man kann nicht erwarten, dass man aus einer vertrackten Situation nur mit Ruhm bekleckert herauskommt.","Sé que el botemóvil está que da pena verlo, pero, si la Sra. Puff me hubiese visto en la persecución, me hubiera renovado el carné ahí mismito. \s5 Ya conoces el dicho: si te metes en terreno pantanoso, saldrás cubierto en algo más que gloria.",ボートの状態がひどいのはわかっているが、パフ先生だって追跡中のワシを見たらその場で免許更新なのにのぅ。 \s5 ドロドロなところから這いあがってくると、ついてくるのは箔だけじゃないってことだな。,"보트가 정말 안 좋은 상태가 되긴 했지만, 퐁퐁 부인이 내가 추격전을 벌이는 광경을 봤다면 면허를 그 자리에서 갱신해 줬을 거야. \s5 곤란한 상황에서 영광스러운 모습으로만 빠져나올 수는 없는 법이지.",我明白这辆船车状况不佳，但如果泡芙阿姨看到刚才那场追逐，一定会当场吊销我的驾照。 \s5 棘手的问题毕竟不可能轻松解决。,"Я понимаю, что на лодкомобиль больно смотреть, но если бы миссис Пафф видела эту погоню, она продлила бы мне права прямо на месте. \s5 Если уж попал в переплёт, то покроешься не только славой.",我知道這艘船車的狀況不佳，但是如果泡芙阿姨看到我在那場追逐中的表現，也許我的駕照就可以當場換新。 \s5 你不能期待出淤泥而不染，只看到金光閃閃。,Teknemobilin durumunun kötü olduğunu biliyorum ama Bayan Puff beni takip esnasında görse ehliyetimi anında yenilerdi. \s5 Böyle sakız gibi uzayan bir meseleden elini kirletmeden kurtulabileceğini sanma.,"So che la barca mobile è in uno stato pietoso, ma se la Signora Puff mi avesse visto in quell'inseguimento, la mia patente sarebbe stata rinnovata all'istante. \s5 Non puoi pretendere di uscire da una situazione del genere ricoperto solo di gloria e onori.","Eu sei que o barco-móvel está em péssimo estado, mas se a Sra. Puff tivesse me visto naquela perseguição, minha habilitação teria sido renovada na hora. \s5 Você não pode esperar sair de uma situação complicada coberto somente em glória."
JOBMESSAGE_SPONGEBOB_INVISIBLEBOATMOBILE_MESSAGE_STAR1_ALT2,Text,NEW,"Okay, so we really need you to be thorough here. \s5 The police force have started to put some quite hefty charges on their vigilante vehicle hire T&Cs.","Écoutez, nous avons besoin de toute votre minutie. \s5 Les forces de police ont commencé à faire payer des frais mirobolants pour les modalités de location de véhicules auprès de justiciers.","Also, du musst hier wirklich gründlich arbeiten. \s5 Die Polizei hat angefangen, in den AGBs für die Anmietung von Einsatzfahrzeugen ziemlich hohe Gebühren zu erheben.","Tienes ojo para el detalle, ¿verdad? Pues toca ponerlo en práctica. \s5 La fuerza de policía ha empezado a añadir unos cargos considerables a los términos y condiciones de su alquiler de vehículos para justicieros.",まあようするに、全部洗い流してもらわないと困るんだ。 \s5 警察の方も、車両に何かあったら大分高額な追加料金を課すって規約に盛り込むようになったからな。,"좋아, 여기서는 정말 철저하게 작업해줘야 하네. \s5 경찰이 자경단 차량 대여 약관을 바꿔서 이용료를 상당히 비싸게 매기기 시작했거든.",现在我们真的需要你在这里认真工作了。 \s5 警察计划往警车租赁条款和条件中加入高额的收费。,"Значит, здесь нужно постараться как следует. Серьёзно. \s5 Полиция вплотную занялась теми, кто нарушает условия аренды машин для погонь за преступниками.",好，所以我們真的需要你把工作做得徹底一點。 \s5 警察已經開始在他們的警用車輛租賃約定條款裡加上一些相當可觀的費用。,"Bak, senden kusursuz bir iş çıkarmanı bekliyoruz. \s5 Polis teşkilatı takip aracı kiralama sözleşmesine epey ağır cezalar eklemeye başladı.","Bene, non devi commettere errori, mi raccomando. \s5 Le forze di polizia hanno iniziato ad applicare tariffe consistenti per il noleggio dei veicoli della vigilanza.","OK, realmente precisamos que você tenha muita atenção aqui. \s5 A força policial começou a colocar umas cobranças bem pesadas em seus termos e condições de aluguel de veículos vigilantes."
JOBMESSAGE_SPONGEBOB_INVISIBLEBOATMOBILE_MESSAGE_STAR2,Text,,"We've spotted him, bobbing eeviiily north! \s5 Wait a minute, do you realize what's north of here?! \s5 I don't, I have no sense of direction.","On l'a repérée en train de sauter en direction du nord ! \s5 Une minute, sais-tu ce qu'il y a au nord d'ici ?! \s5 Moi non, car je n'ai aucun sens de l'orientation.","Wir haben ihn entdeckt, wie er böööseee nach Norden dümpelt! \s5 Moment mal, wisst ihr, was nördlich von hier ist?! \s5 Ich nicht, ich habe keinen Orientierungssinn.","¡La hemos visto, flotando malévolamente hacia el norte! \s5 Un momento, ¡¿sabes lo que hay al norte de aquí?! \s5 Yo no, me oriento fatal.",いたぞ！悪者は北へ向かっている！ \s5 あれ？ここから北ってどっちだ？ \s5 ワシにはさっぱりわからん、方向音痴だからな。,"녀석을 찾았어, 북쪽으로 사아아악하게 들썩거리며 가더군! \s5 잠시만, 여기서 북쪽이 어딘지 알겠어?! \s5 난 모르겠거든. 방향 감각이 없어서.",我们发现他了，正邪恶地向北飘去！ \s5 等等，你知道北在哪里吗？！ \s5 不知道，我没有方向感。,"Мы заметили, как он злобно «пузырил» на север! \s5 Погодите-ка, вы знаете, что находится к северу отсюда?! \s5 Я не знаю, потому что не умею ориентироваться в пространстве.",我們找到他了，他在往北漂！ \s5 等一下，你知道北邊是哪嗎？！ \s5 我沒有方向感，所以不太清楚。,"Onu, kuzeye doğru kötücüüül bir şekilde sürüklenirken gördük! \s5 Dur, buranın kuzeyinde ne olduğunun farkında mısın? \s5 Hayır, pek yön algım yok.","L'abbiamo visto galleggiare con cattiveria verso nord! \s5 Aspetta un attimo, sai cosa c'è a nord di qui?! \s5 Io no, non ho il senso dell'orientamento.","Nós o avistamos, balançando assustadoramente para o norte! \s5 Espere um minuto, você sabe o que há ao norte daqui?! \s5 Não, eu não tenho senso de direção."
JOBMESSAGE_SPONGEBOB_INVISIBLEBOATMOBILE_MESSAGE_STAR3,Text,,"Barnacleboy says that due north is the Goo Lagoon! \s5 But I don't care who's due what, if The Dirty Bubble makes it that far we can all kiss goodbye to at least seven colours of the rainbow! ","Le Bernard l'Ermite dit que le Goo Lagoon se trouve tout au nord ! \s5 Advienne que pourra, mais si la Bulle Infernale arrive jusque là-bas, on pourra dire adieu à au moins sept couleurs de l'arc-en-ciel ! ","Blaubarschbube sagt, genau im Norden liegt die Goo Lagoon! \s5 Aber es ist mir egal, was genau wo liegt; wenn die Drecksackblase es bis dahin schafft, können wir uns alle von mindestens sieben Farben des Regenbogens verabschieden! ","¡Chico Percebe dice que al norte está la Laguna Viscosa! \s5 Pero da igual todo. ¡Si la Burbuja Sucia llega hasta allí, ya podemos ir despidiéndonos de los siete colores del arcoíris! ",フジツボボーイいわく、ここから北に向かったらグー・ラグーンにたどり着くらしい！ \s5 なにがともあれ、ダーティ・バブルがそこに辿り着いてしまったら、虹が七色に輝く事はもう二度とないじゃろう！ ,"조개소년이 그러는데 북쪽이 끈끈이 호수가 있는 쪽이라더군! \s5 하지만 상관 없어, 더티 버블이 그렇게까지 멀리 갔다면 최소한 우리 모두 다 일곱 빛깔 무지개에 작별 키스를 할 수 있을 테니까! ",大洋游侠说正北是酷乐湖！ \s5 但我可不管什么正不正的，如果肮脏泡泡到了那里，我们就要与彩虹的至少七种颜色吻别了！ ,"Очкарик говорит, что на севере находится Гу Лагуна ! \s5 Но мне все равно. Если Грязный Пузырь зайдет так далеко, мы все можем попрощаться как минимум с семью цветами радуги! ",大洋遊俠說北邊是酷樂湖！ \s5 我不在乎別人怎麼說，如果骯髒泡泡能走到那邊，我們就一定可以跑到彩虹的盡頭！ ,"Midye Oğlan buranın kuzeyinde Balçık Lagünü olduğunu söylüyor! \s5 Neyin nerede olduğu umurumda değil, Kirli Balon o kadar uzağa giderse gök kuşağının en az yedi rengine veda edebiliriz! ","Supevista dice che a nord si trova la Laguna Goo! \s5 Ma non mi interessa chi si trova dove, se Bolla sporca arriva lassù possiamo tutti dire addio ad almeno sette dei colori dell'arcobaleno! ","Mexilhãozinho diz que ao norte fica a Lagoa Goo! \s5 Mas eu não me importo, se o Bolha Suja chegar tão longe, todos nós podemos dar adeus a pelo menos sete cores do arco-íris! "
JOBMESSAGE_SPONGEBOB_INVISIBLEBOATMOBILE_MESSAGE_STAR4,Text,,All these jellyfish are really testing our supply of antihistamines. \s5 And Mermaidman already has a rash from being inside The Dirty Bubble. \s5 We're having to apply a real pharmaceutical matrix out here.,Toutes ces méduses mettent notre stock d'antihistaminiques à rude épreuve. \s5 Et l'Homme Sirène a des démangeaisons depuis qu'il s'est retrouvé dans la Bulle Infernale. \s5 Il va falloir qu'on fasse très attention aux interactions médicamenteuses.,Diese ganzen Quallen stellen unseren Vorrat an Antihistaminika wirklich auf die Probe. \s5 Und Meerjungfraumann hat im Inneren der Drecksackblase schon Ausschlag bekommen. \s5 Wir müssen hier draußen eine echte pharmazeutische Matrix anwenden.,Todas estas medusas están poniendo a prueba nuestras reservas de antihistamínicos. \s5 ¡Y a Tritonman ya le pica todo de haber estado dentro de la Burbuja Sucia! \s5 Estamos empleando un buen cargamento de medicamentos.,この大量のクラゲのせいで、抗ヒスタミン剤の貯蓄が底を尽きてしまいそうだ。 \s5 マーメイドマンはダーティ・バブルの中に入ったものだからじんましんが出てしまったんだ。 \s5 ワシも色んな市販の軟膏を身体に塗りたくっているところじゃ。,"해파리가 이렇게 많다니, 알레르기약 재고가 걱정되는데. \s5 인어맨은 더티 버블 안에 들어갔다 나오느라 벌써 발진이 생겼어. \s5 여기에 진짜 약 매트릭스를 적용해야 해.",所有这些水母都在考验我们抗组胺剂的存量。 \s5 海超人因为在肮脏泡泡里已经起了疹子。 \s5 我们必须用真正的药物基质。,"Все эти медузы решили проверить, достаточно ли у нас средств от аллергии. \s5 А у Морского Супермена уже сыпь после Грязного Пузыря. \s5 Тут понадобится настоящая лекарственная матрица.",這些水母在考驗我們還有多少抗組織胺。 \s5 海超人待在骯髒泡泡裡太久，都長疹子了。 \s5 我們得在這裡用點真正的複合藥物。,"Tüm bu denizanaları, antihistaminik stokumuzun yeterliliğini sınıyor. \s5 Deniz Kızı Adam zaten Kirli Balon'un içinde olduğu için kaşınmaya başladı bile. \s5 Yani ilaçların dozunu sürekli artırmamız gerekiyor.","Tutte queste meduse stanno mettendo a dura prova la nostra scorta di antistaminici. \s5 E a Waterman è già venuto uno sfogo per essere stato dentro Bolla sporca. \s5 Ci servirà una farmacia intera, qui.",Essas águas-vivas estão realmente testando nosso suprimento de anti-histamínicos. \s5 E o Homem Sereia já teve uma erupção cutânea por estar dentro do Bolha Suja. \s5 Estamos aplicando uma verdadeira matriz farmacêutica aqui.
JOBMESSAGE_SPONGEBOB_KRUSTYKRAB_MESSAGE_COMPLETE,Text,,"Sweet mother of the mother of Pearl, ye've saved the day so ye have! And just in time for opening hour.

I'll pays ya straightaway, so don't you worry about money - I've already taken it outta Squidward's wages.

Say, ye haven't seen me cook have ye? Young SpongeBob's gone missing, and these patties aren't going to flip themselves…","Sainte mère de la mère de Pearl, tu m'as sauvé la mise ! Et juste à temps pour l'ouverture.

Je vais te payer tout de suite, ne t'en fais pas pour l'argent. J'ai déjà tout prélevé sur le salaire de Carlo.

Par contre, tu n'aurais pas vu mon cuistot, par hasard ? Le jeune Bob l'éponge a disparu, et ces pâtés de crabe ne vont pas se retourner tout seuls...","Ach du liebes Perlmutt, du hast die Situation gerettet, das hast du! Und gerade rechtzeitig zur Öffnungszeit.

Ich werde dich sofort bezahlen, also mach dir keine Sorgen um Geld – ich habe es schon von Thaddäus’ Gehalt abgezogen.

Sag mal, du hast nicht zufällig meinen Koch gesehen? Der junge SpongeBob ist verschwunden, und diese Burger wenden sich nicht von selbst …","¡Por la madre de todas las perlas, nos has salvado a todos! Y justo a tiempo para abrir.

Te pagaré enseguida, así que el dinero no es problema. Ya se lo he descontado del sueldo a Calamardo.

Oye, ¿a que no me has visto cocinar nunca? No sé dónde está Bob Esponja y estas hamburguesas no se van a dar la vuelta solas...","なんてことだ！君は命の恩人だガニ！これなら開店時間に間に合いそうだ。

報酬はすぐに払う。金のことは気にするな、イカルドの給料から差っ引いておいた。

ところで、うちのコックを見かけなかったカニ？スポンジボブも行方不明で、バーガーを作ってくれるやつがいないんだ……","진주의 어머니의 어머니, 자네가 해냈군! 가게 오픈 시간에 딱 맞췄어.

금액은 바로 지급할 테니 돈 걱정은 하지 않아도 돼. 이미 징징이의 월급에서 깎았거든.

내가 요리하는 걸 본 적이 없지? 젊은 스폰지밥은 사라졌고, 이 패티들은 저절로 뒤집히진 않을 텐데...","亲爱的珍珠之母，你帮了大忙了！正好赶上营业时间。

我会直接付钱给你，不用担心——我已经从章鱼哥的工资里扣除了那笔钱。

你没见过我下厨吧？小海绵宝宝失踪了，这些肉饼可不会自己翻面……","Мать моя жемчужная, да вы просто спасли положение! И как раз к открытию.

Я заплачу вам сразу же. О деньгах не беспокойтесь — я уже вычел их из жалованья Сквидварда.

Так-с, а вы не видели моего повара? Юный Губка Боб пропал, а эти котлеты сами себя не перевернут…","老天哪，你拯救了我們的一天！正好趕上營業時間。

別擔心，錢馬上會付給你，我已經從章魚哥的薪水裡面扣了。

你還沒看過我料理對吧？小海綿寶寶失蹤了，這些漢堡可不會自動翻面把自己煎好……","Pearl'ün annesi aşkına, günü kurtardın! Tam da açılış saatine yetişti.

Sana hemen ödeme yapacağım, parayı dert etme. Zaten ödemeyi çoktan Squidward'ın maaşından kestim.

Beni hiç yemek pişirirken görmedin değil mi? Genç Sünger Bob ortalıkta yok ve bu köfteler de kendi kendine dönmüyor...","Oh madre della madreperla, hai davvero salvato la situazione! E giusto in tempo per l'apertura.

Ti pagherò subito, non preoccuparti: il tuo compenso lo prenderò dallo stipendio di Squiddy.

Dimmi, non è che per caso hai visto il mio cuoco? Il giovane SpongeBob è scomparso e questi hamburger non si gireranno da soli...","Doce mãe da madrepérola, você salvou o dia, salvou sim! E bem a tempo do horário de funcionamento.

Eu te pago imediatamente, não se preocupe com dinheiro. Eu já tirei do salário do Lula Molusco.

Diga, você não me viu cozinhar, viu? O jovem Bob Esponja está desaparecido, e esses hambúrgueres não vão se fritar sozinhos..."
JOBMESSAGE_SPONGEBOB_KRUSTYKRAB_MESSAGE_STAR0,Text,,"What are you doing, washing down the Krusty Krab?! You should be helping me, you incorrigible nitwit! Krabs started it, by covering my Chum Bucket with a complex array of dirty circles! \s18 Please, I'll pay you.","Mais pourquoi tu nettoies le Crabe Croustillant ?! C'est plutôt moi que tu devrais aider ! C'est Krabs qui a commencé en recouvrant mon Seau de l'enfer avec plusieurs cercles complexes de saleté ! \s18 S'il te plaît, je te paierai.","Was machst du da, die Krosse Krabbe abwaschen?! Du solltest mir helfen, du unverbesserlicher Trottel! Krabs hat damit angefangen und meinen Abfalleimer mit einer komplexen Anordnung schmutziger Kreise bedeckt! \s18 Bitte, ich bezahle dich auch.","¡¿Qué haces pegando manguerazos al Crustáceo Crujiente?! ¡Deberías estar ayudándome, pedazo de besugo! ¡Ese cangrejo lo empezó todo, cubriendo el Cubo de Cebo de un complejo entramado de círculos de porquería! \s18 Por favor, te pagaré.",おいお前！カニカーニを洗浄してるのか！？あいつじゃなくておれさまを手伝え、このアホンダラ！先に始めたのはカーニだからな。エサバケツ亭が泥だらけになるまで泥だんごを投げやがってよ！ \s18 たのむぜ、金なら払うから……,"뭐야, 집게리아를 청소하고 있어?! 날 도와줘야지, 이 못 말리는 멍청이야! 집게사장이 먼저 시작한 일이야, 내 플랑크톤 상점을 지저분한 원으로 복잡하게 뒤덮어놨다고! \s18 제발, 돈은 줄 테니까.",你在做什么，清洗蟹堡王？！你应该帮我，你这个无可救药的笨蛋！是蟹老板先惹的我，用一系列复杂的肮脏圆圈盖住了我的海之霸！ \s18 帮帮我，我会付钱的。,"А с чего это вы прибираетесь в Красти Крабе?! Вы должны помогать мне, пустоголовы! Это Крабс все затеял — наворотил грязных кругов в моем «Помойном Ведре»! \s18 Пожалуйста, я заплачу вам.",你在這邊清洗蟹堡王是什麼意思？！你應該要幫我啊，你這個大笨蛋！是蟹老闆先的，他把我整間店都弄得髒兮兮！ \s18 拜託了，我付錢給你。,"Ne yapıyorsun sen? Yengeç Restoran'ı mı yıkıyorsun? Bana yardım etmen gerek seni iflah olmaz ahmak! Bunu yengeç başlattı, Yem Kovası restoranımı karmaşık kirli çemberlerle kapladı! \s18 Lütfen, sana ödeme yaparım.","Che fai? Stai lavando il Krusty Krab?! Per tutti i circuiti, dovresti aiutare me! È stato Krab a iniziare! Ha ricoprendo il mio Chum Bucket con una complessa serie di cerchi di sporco! \s18 Per favore, ti pagherò.","Por que você está lavando o Siri Cascudo?! Você deveria estar me ajudando, seu bobalhão incorrigível! O Sirigueijo que começou, cobrindo meu Balde de Lixo com uma série complexa de círculos de sujeira! \s18 Por favor, eu te pago."
JOBMESSAGE_SPONGEBOB_KRUSTYKRAB_MESSAGE_STAR1,Text,,"So... Mr. Krabs thinks that by defacing my superior eatery, he would render me too busy to concoct an ingenious plan to steal his secret formula... \s4 Never in my wildest dreams did I think that he was capable of such a foul deed. \s3 I thought it was something only a real lowlife like myself would do. \s5 Indeed, it was the very next thing I did do.","Alors, comme ça... Le Capitaine Krabs pensait qu'en salissant mon restaurant, il m'empêcherait d'ourdir un plan machiavélique pour lui voler sa recette secrète... \s4 Jamais dans mes rêves les plus fous, je n'aurais imaginé qu'il soit capable d'un acte aussi odieux. \s3 Je pensais que c'était uniquement digne d'un vrai malfrat comme moi. \s5 Car c'est bien ce que j'aurais fait.","Also … Mr. Krabs denkt, dass er mein überlegenes Restaurant verunstalten kann und ich dann zu beschäftigt sein werde, um einen ausgeklügelten Plan auszuhecken, um seine geheime Formel zu stehlen … \s4 In meinen kühnsten Träumen hätte ich nie gedacht, dass er zu einer so üblen Tat fähig wäre. \s3 Ich dachte, das wäre etwas, was nur eine wirklich zwielichtige Gestalt wie ich tun würde. \s5 Tatsächlich war es das Nächste, was ich getan habe.","Bueno... El señor Cangrejo cree que, si vandaliza mi excelso restaurante, estaré demasiado ocupado para cocinar un ingenioso plan para robarle su fórmula secreta... \s4 Ni en mis peores pesadillas me imaginaba que fuera capaz de una jugarreta tan sucia. \s3 Pensaba que solo alguien tan cochambroso como yo haría algo así. \s5 Ciertamente, era mi próximo plan.",それで......カーニさんは、おれさまの至高の食事処を汚しておけば、秘伝のレシピ強奪計画まで手が回らなくなるとでも思っているのか…… \s4 そんな汚いマネをしてくるとは夢にも思ってなかったよ。 \s3 そういうのって、おれさまみたいな下等生物だけがするものと思ってた。 \s5 実際に、仕返しに同じことをやつにやってやったからな。,"그러니까... 집게사장은 내 고급 식당을 더럽게 만들면 내가 너무 바빠져서 그의 비법을 훔쳐갈 기발한 계획을 짤 틈이 없어질 거라고 생각한 건가... \s4 그런 치사한 짓을 할 수 있을 거라고는 꿈에도 생각 못 했었는데. \s3 나 같은 진짜 못된 녀석만이 할 수 있는 일인 줄 알았어. \s5 그래, 딱 내가 할 만한 짓이라고.",所以……蟹老板以为破坏我的高级餐馆，就能让我忙得没时间制定巧妙的计划去窃取他的秘密配方…… \s4 我绞尽脑汁也没想到他会做出如此卑鄙的事情。 \s3 我原以为只有像我这样真正卑劣人才会做这种事。 \s5 事实上，这是我接下来要做的事情。,"Так... Мистер Крабс считает, что если он испортит мою превосходную забегаловку, у меня не будет времени придумать гениальный план кражи его секретной формулы... \s4 Никогда даже в самых смелых мыслях я не думал, что он способен на такой подлый поступок. \s3 Я думал, такое по плечу только настоящему негодяю вроде меня. \s5 Действительно, именно так бы я и поступил.",所以……蟹老闆以為在我的高級餐廳搞破壞，就能阻止我密謀竊取他的秘密配方…… \s4 我從來沒有想過他會做這麼卑鄙的事情。 \s3 我以為只有像我這種真正的下流人士才會這麼做。 \s5 事實上，我接下來就是打算這麼做。,"Yani... Bay Yengeç, benim üstün restoranımı kirleterek beni meşgul edip onun gizli formülünü çalmamı sağlayacak dahiyane bir plan oluşturmama engel olmaya çalışıyor... \s4 Onun böylesine iğrenç bir şey yapabileceğini rüyamda görsem inanmazdım. \s3 Yalnızca benim gibi bir aşağılığın böyle şeyler yaptığını sanıyordum. \s5 Tabii hemen ben de yaptım.","Quindi... Mister Krabs pensa che imbrattare il mio magnifico ristorante sia una buona mossa per distrarmi e impedirmi di escogitare un piano ingegnoso per rubare la sua ricetta segreta... \s4 Non avrei mai pensato che fosse capace di un'azione così malvagia. \s3 Pensavo fosse una cosa che solo un vero farabutto come me potesse fare. \s5 In effetti, è stato proprio ciò che ho fatto poi.","Então... O Sr. Sirigueijo acha que, ao desfigurar meu restaurante (que é muito melhor que o dele), eu ficaria ocupado demais para inventar um plano engenhoso para roubar a fórmula secreta dele... \s4 Nunca, nem nos meus sonhos mais loucos, eu pensei que ele fosse capaz de um ato tão sujo. \s3 Eu pensei que isso era algo que apenas um verdadeiro pilantra como eu faria. \s5 Na verdade, foi a próxima coisa que fiz."
JOBMESSAGE_SPONGEBOB_KRUSTYKRAB_MESSAGE_STAR2,Text,,"Don't listen to Plankton, he's just gone and covered his own Chum Bucket in muck to try to look all innocent, so he has. \s5 He must think I was spawned yesterday.","N'écoute pas Plancton, c'est lui qui a recouvert son propre Seau de l'enfer de saleté pour se faire passer pour innocent. \s5 Il doit croire que je suis né de la dernière marée.","Hör nicht auf Plankton, er ist einfach hingegangen und hat seinen eigenen Abfalleimer mit Schmutz bedeckt, damit er ganz unschuldig aussieht, das hat er getan. \s5 Er muss denken, ich wäre von gestern.","No escuches a Plancton; está mal de la azotea y ha puesto perdido el Cubo de Cebo él solito para hacerse la víctima, seguro. \s5 Se debe de creer que eclosioné ayer...",プランクトンの言うことに耳を貸すな。アイツはエサバケツ亭に自ら泥で覆って、無実を装ってるだけガニ。 \s5 わたしを生まれたてホヤホヤとでも思っているカニか？,"플랑크톤이 하는 말은 듣지 마, 자기 잘못이 아닌 척하려고 플랑크톤 상점을 직접 더럽힌 게 분명하니까. \s5 내가 어제 태어난 어린애인 줄 아는 모양이지.",别听皮老板瞎说，他是自己去用污泥涂满了自己的海之霸，好让自己看上去很无辜，这就是他的目的。 \s5 他一定以为我是毫无见识的小年轻。,"Не слушайте Планктона, он просто обмазал свое «Помойное Ведро» всякой гадостью, чтобы прикинуться невиновным. \s5 Наверное, он думает, я вчера родился.",別聽皮老闆的，他把自己的海之霸弄得一團亂，假裝看起來很無辜。 \s5 他還以為我是什麼都不懂的小鬼啊。,"Plankton'u dinleme, Yem Kovası'nı kendisi çamurla kaplayıp masum görünmeye çalışıyordu. \s5 Ben yer miyim bunları.","Non ascoltare Plankton, ha preso e ha coperto il suo Chum Bucket di fango per cercare di sembrare innocente e ci è riuscito. \s5 Deve pensare che sia nato ieri.","Não dê ouvidos ao Plankton. Ele mesmo cobriu seu próprio Balde de Lixo com lama para tentar parecer inocente, ele fez isso sim. \s5 Ele deve pensar que eu nasci ontem."
JOBMESSAGE_SPONGEBOB_KRUSTYKRAB_MESSAGE_STAR3,Text,,"What's covered in dirt, has one, round leg and likes hopping A LOT? \s4 Because, whatever it is, it just left.","Qui est recouverte de saleté, avec une seule jambe toute ronde et aime BEAUCOUP sauter ? \s4 Je ne sais pas, mais elle vient de filer.","Was ist mit Schmutz bedeckt, hat ein einziges rundes Bein und hüpft SEHR gerne? \s4 Denn was auch immer es ist, es ist gerade gegangen.","¿Qué está cubierto de porquería, tiene una sola pata redonda y BOTA Y BOTA sin parar? \s4 Porque, sea lo que sea, se acaba de marchar.",泥まみれで、一本の丸い足を持っていて、飛び跳ねるのが大好きなものはなーんだ？ \s4 なんだか知らないけど、たった今逃げてったよ。,"먼지로 뒤덮여 있고, 둥그런 다리 하나가 있고 뛰어다니는 것을 좋아하는 게 뭘까? \s4 그게 뭔지는 몰라도 그냥 떠나버렸어.",什么东西浑身是脏东西，有一条圆腿，还喜欢跳来跳去？ \s4 因为，不管它是什么，它都已经离开了。,"Что покрыто грязью, имеет одну круглую ногу и любит МНОГО прыгать? \s4 Потому что, что бы это ни было, оно только что ушло.",有什麼東西髒兮兮的，會只用一條腿跳來跳去？ \s4 不管那是什麼，我剛剛看到他離開了。,"Kirle kaplı, tek bacaklı ve SÜREKLİ zıplayan şey nedir? \s4 Çünkü her neyse az önce gitti.","Cos'è coperto di sporco, ha una forma sferica e ama MOLTO saltare? \s4 Perché qualunque cosa sia, se n'è appena andato.","O que é sujo, tem uma perna redonda e gosta MUITO de pular? \s4 Porque, seja o que for, acabou de sair."
JOBMESSAGE_SPONGEBOB_KRUSTYKRAB_MESSAGE_STAR4,Text,,"Patrick, you're a genius! Those dirt circles on the Chum Bucket are exactly the same as those left on our houses at Conch Street! \s5 Let's investigate, you can't go around being a big dirt-heaving hopper without someone seeing something...","Patrick, tu es un génie ! Ces cercles de saleté sur le Seau de l'enfer sont exactement les mêmes que ceux qui étaient sur nos maisons dans la rue des Conques ! \s5 Menons l'enquête. Une grosse bulle sauteuse pleine de saleté ne risque pas de passer inaperçue...","Patrick, du bist ein Genie! Diese Schmutzkreise auf dem Abfalleimer sind genau die gleichen wie die, die auf unseren Häusern in der Schneckenstraße zurückgeblieben sind! \s5 Lass uns nachforschen, man kann nicht als großer, Schmutz hebender Hüpfer herumlaufen, ohne dass jemand etwas sieht …","¡Patricio, eres un genio! ¡Esos círculos de cochambre del Cubo de Cebo son igualitos a los que había en nuestras casas de la Calle de la Concha! \s5 Vamos a investigar; no se puede ir por ahí saltando y pringándolo todo sin que nadie te vea...",パトリック、君は天才だ！エサバケツ亭に付着した泥だんごは、巻貝通りの僕たちん家とピッタリ一致している！ \s5 調べにでかけよう。大きな泥だらけの物体がぴょんぴょん跳ねてたら、誰かしら見てるはずだからね……,"뚱아, 너는 천재야! 플랑크톤 상점에 있던 얼룩들이 고둥길에 있는 우리 집에 남아있는 것과 똑같아! \s5 조사해 보자. 커다란 흙투성이 깡총이가 다른 사람의 눈에 띄지 않고 돌아다닐 수는 없으니까...",派大星，你是个天才！海之霸上的那些土圈和我们海螺街房子上留下的一模一样！ \s5 我们去调查一下，如果有人乱扔垃圾，不可能没人看见……,"Патрик, ты гений! Эти грязные круги на «Помойном Ведре» точно такие же, как те, что остались на наших домах на Ракушечной улице! \s5 Надо все это расследовать. Невозможно быть большим прыгуном-грязнулей и никому не попасться на глаза...",派大星，你真是個天才！海之霸的那些污漬跟海螺街房子上面的一模一樣！ \s5 我們應該去調查一下。畢竟不可能沒有人看到一大團汙泥跳來跳去……,"Patrick, sen bir dâhisin! Yem Kovası'ndaki o kir çemberleri, Deniz Kabuğu Sokağı'ndaki evlerimizde olanlarla bire bir aynı! \s5 Araştıralım bakalım. Kimseler görmeden etrafa pislik saçıp gezemezsin...","Patrick, sei un genio! Quei cerchi di terra sul Chum Bucket sono gli stessi lasciati sulle nostre case in Via Conchiglia! \s5 Dobbiamo indagare. Una grossa sfera sporca e saltellante non può rimanere inosservata...","Patrick, você é um gênio! Aqueles círculos de sujeira no Balde de Lixo são idênticos aos deixados em nossas casas na Rua da Concha! \s5 Vamos investigar, é impossível saltitar por aí sem que ninguém veja nada..."
